RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  32.6007   11.6066   10.2177   28.1811   21.3689 
  32.5929   11.5972   10.2210   28.1807   21.3702 
  32.5825   11.5922   10.2215   28.1745   21.3663 
  32.5763   11.5764   10.2202   28.1805   21.3737 
  32.5726   11.5754   10.2151   28.1778   21.3718 
  32.5642   11.5672   10.2186   28.1760   21.3718 
  32.5493   11.5581   10.2187   28.1686   21.3677 
  32.5482   11.5532   10.2215   28.1713   21.3706 
  32.5389   11.5422   10.2186   28.1708   21.3721 
  32.5402   11.5347   10.2210   28.1777   21.3787 
  32.5310   11.5281   10.2148   28.1738   21.3769 
  32.5311   11.5205   10.2195   28.1798   21.3828 
  32.5187   11.5117   10.2221   28.1745   21.3802 
  32.5122   11.5013   10.2168   28.1763   21.3834 
  32.5060   11.4912   10.2256   28.1780   21.3865 
  32.4904   11.4867   10.2218   28.1664   21.3782 
  32.4871   11.4762   10.2202   28.1712   21.3838 
  32.4760   11.4689   10.2209   28.1661   21.3811 
  32.4606   11.4577   10.2222   28.1599   21.3782 
  32.4561   11.4505   10.2226   28.1611   21.3804 
  32.4569   11.4451   10.2188   28.1660   21.3851 
  32.4360   11.4368   10.2231   28.1522   21.3758 
  32.4407   11.4278   10.2184   28.1635   21.3861 
  32.4148   11.4178   10.2267   28.1462   21.3745 
  32.4260   11.4092   10.2229   28.1635   21.3894 
  32.4166   11.4014   10.2221   28.1605   21.3883 
  32.3976   11.3942   10.2208   28.1477   21.3796 
  32.3961   11.3853   10.2237   28.1530   21.3853 
  32.3975   11.3746   10.2210   28.1624   21.3944 
  32.3921   11.3695   10.2216   28.1611   21.3943 
  32.3765   11.3587   10.2210   28.1544   21.3909 
  32.3579   11.3505   10.2223   28.1427   21.3832 
  32.3627   11.3441   10.2270   28.1522   21.3917 
  32.3513   11.3341   10.2211   28.1489   21.3908 
  32.3506   11.3250   10.2266   28.1552   21.3973 
  32.3395   11.3172   10.2258   28.1503   21.3948 
  32.3353   11.3084   10.2236   28.1531   21.3984 
  32.3226   11.3003   10.2233   28.1469   21.3950 
  32.3080   11.2890   10.2213   28.1415   21.3927 
  32.3076   11.2823   10.2255   28.1462   21.3976 
  32.3001   11.2745   10.2245   28.1450   21.3979 
  32.2902   11.2583   10.2240   28.1477   21.4028 
  32.2877   11.2566   10.2240   28.1467   21.4023 
  32.2782   11.2472   10.2261   28.1446   21.4023 
  32.2670   11.2381   10.2192   28.1408   21.4008 
  32.2620   11.2303   10.2203   28.1419   21.4030 
  32.2586   11.2230   10.2228   28.1441   21.4060 
  32.2490   11.2144   10.2231   28.1415   21.4054 
  32.2422   11.2046   10.2250   28.1424   21.4078 
  32.2282   11.1953   10.2263   28.1360   21.4044 
  32.2254   11.1891   10.2215   28.1381   21.4070 
  32.2057   11.1765   10.2230   28.1285   21.4018 
  32.2104   11.1696   10.2233   28.1384   21.4105 
  32.2017   11.1596   10.2259   28.1376   21.4116 
  32.1977   11.1516   10.2280   28.1398   21.4147 
